src_pmid	burst_year	threshold	time_period	Avg. # of Pub.	after_burst_window
23313	1981	Threshold of 0.5%	Earlier Entrants	5.241379310344827	5y
23313	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.3	5y
24039	1984	Threshold of 0.5%	Earlier Entrants	5.869565217391305	5y
24039	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.779661016949152	5y
24633	1986	Threshold of 0.5%	Earlier Entrants	10.962962962962964	5y
24633	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.611111111111111	5y
25277	1989	Threshold of 0.5%	Earlier Entrants	9.956521739130435	5y
25277	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.65277777777778	5y
27522	1989	Threshold of 0.5%	Earlier Entrants	9.517241379310343	5y
27522	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.866666666666667	5y
28520	1980	Threshold of 0.5%	Earlier Entrants	8.655172413793103	5y
28520	1980	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.701030927835052	5y
29075	1997	Threshold of 0.5%	Earlier Entrants	8.483870967741936	5y
29075	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.039800995024876	5y
31904	1977	Threshold of 0.5%	Earlier Entrants	14.133333333333333	5y
31904	1977	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.461538461538462	5y
33298	1993	Threshold of 0.5%	Earlier Entrants	13.430278884462153	5y
33298	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.292709077912797	5y
33715	1989	Threshold of 0.5%	Earlier Entrants	11.904761904761903	5y
33715	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.414285714285716	5y
34629	1995	Threshold of 0.5%	Earlier Entrants	21.529411764705884	5y
34629	1995	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.656716417910449	5y
34671	1984	Threshold of 0.5%	Earlier Entrants	13.153846153846152	5y
34671	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.533333333333331	5y
35005	1991	Threshold of 0.5%	Earlier Entrants	20.657894736842103	5y
35005	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.699588477366255	5y
36412	1986	Threshold of 0.5%	Earlier Entrants	15.72222222222222	5y
36412	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.598214285714286	5y
36433	1984	Threshold of 0.5%	Earlier Entrants	18.32558139534884	5y
36433	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	19.974137931034484	5y
38843	1991	Threshold of 0.5%	Earlier Entrants	15.088888888888889	5y
38843	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.069565217391304	5y
40716	1989	Threshold of 0.5%	Earlier Entrants	7.461538461538462	5y
40716	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.201342281879194	5y
43734	1985	Threshold of 0.5%	Earlier Entrants	5.789473684210527	5y
43734	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.621513944223109	5y
46044	1977	Threshold of 0.5%	Earlier Entrants	10.647058823529411	5y
46044	1977	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12	5y
49896	1981	Threshold of 0.5%	Earlier Entrants	26.89189189189189	5y
49896	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.433526011560694	5y
51037	1986	Threshold of 0.5%	Earlier Entrants	11.147058823529411	5y
51037	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.493273542600896	5y
61964	1991	Threshold of 0.5%	Earlier Entrants	11.395348837209305	5y
61964	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.578231292517009	5y
65154	1983	Threshold of 0.5%	Earlier Entrants	27	5y
65154	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.454545454545457	5y
65302	1984	Threshold of 0.5%	Earlier Entrants	10.564102564102564	5y
65302	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.753246753246753	5y
68956	1981	Threshold of 0.5%	Earlier Entrants	6.777777777777778	5y
68956	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.816455696202532	5y
69031	1981	Threshold of 0.5%	Earlier Entrants	21.24074074074074	5y
69031	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.39766081871345	5y
69437	1981	Threshold of 0.5%	Earlier Entrants	11.294117647058824	5y
69437	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.26388888888889	5y
69613	1995	Threshold of 0.5%	Earlier Entrants	13.25	5y
69613	1995	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.691729323308271	5y
70424	1982	Threshold of 0.5%	Earlier Entrants	21.454545454545453	5y
70424	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.33898305084746	5y
70428	1981	Threshold of 0.5%	Earlier Entrants	11.914285714285716	5y
70428	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.339285714285714	5y
70482	1985	Threshold of 0.5%	Earlier Entrants	11.5	5y
70482	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.3	5y
74423	1997	Threshold of 0.5%	Earlier Entrants	7.444444444444445	5y
74423	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.347560975609756	5y
75546	1982	Threshold of 0.5%	Earlier Entrants	11.615384615384617	5y
75546	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.233766233766234	5y
75939	1987	Threshold of 0.5%	Earlier Entrants	8.708333333333334	5y
75939	1987	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	17.640151515151516	5y
76312	1980	Threshold of 0.5%	Earlier Entrants	17.559633027522935	5y
76312	1980	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.25	5y
76662	2004	Threshold of 0.5%	Earlier Entrants	17.2	5y
76662	2004	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.938053097345133	5y
77874	1980	Threshold of 0.5%	Earlier Entrants	10.363636363636363	5y
77874	1980	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.797619047619047	5y
78946	1997	Threshold of 0.5%	Earlier Entrants	24.31578947368421	5y
78946	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.518987341772153	5y
80424	1989	Threshold of 0.5%	Earlier Entrants	8.5	5y
80424	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.924050632911392	5y
80425	1985	Threshold of 0.5%	Earlier Entrants	15.479166666666666	5y
80425	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.859550561797754	5y
80430	1990	Threshold of 0.5%	Earlier Entrants	23.666666666666668	5y
80430	1990	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.350877192982455	5y
81070	1984	Threshold of 0.5%	Earlier Entrants	18.85	5y
81070	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.827586206896552	5y
81229	1991	Threshold of 0.5%	Earlier Entrants	10.166666666666666	5y
81229	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	18.130081300813007	5y
81236	1985	Threshold of 0.5%	Earlier Entrants	15.625	5y
81236	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	17.275862068965516	5y
81869	1993	Threshold of 0.5%	Earlier Entrants	13.615384615384617	5y
81869	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.917355371900827	5y
85482	1986	Threshold of 0.5%	Earlier Entrants	17	5y
85482	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.8933333333333335	5y
87290	1989	Threshold of 0.5%	Earlier Entrants	4.818181818181818	5y
87290	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.563157894736842	5y
87438	1997	Threshold of 0.5%	Earlier Entrants	9	5y
87438	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.415254237288137	5y
90058	1989	Threshold of 0.5%	Earlier Entrants	30.6	5y
90058	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.404494382022472	5y
91170	1994	Threshold of 0.5%	Earlier Entrants	21.76923076923077	5y
91170	1994	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.476439790575917	5y
91636	1988	Threshold of 0.5%	Earlier Entrants	13.541666666666666	5y
91636	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.30952380952381	5y
96112	1991	Threshold of 0.5%	Earlier Entrants	3.9444444444444446	5y
96112	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.575	5y
96113	1991	Threshold of 0.5%	Earlier Entrants	4.733333333333333	5y
96113	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.358695652173912	5y
97284	2006	Threshold of 0.5%	Earlier Entrants	10.466666666666669	5y
97284	2006	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.47008547008547	5y
97286	2009	Threshold of 0.5%	Earlier Entrants	11.82857142857143	5y
97286	2009	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.15686274509804	5y
97299	2000	Threshold of 0.5%	Earlier Entrants	4	5y
97299	2000	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.722222222222222	5y
97354	1999	Threshold of 0.5%	Earlier Entrants	8.647058823529411	5y
97354	1999	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.01908396946565	5y
98389	1987	Threshold of 0.5%	Earlier Entrants	21.11904761904762	5y
98389	1987	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	18.464864864864865	5y
100492	1989	Threshold of 0.5%	Earlier Entrants	35.064516129032256	5y
100492	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	17.063953488372093	5y
101522	1991	Threshold of 0.5%	Earlier Entrants	9.735294117647058	5y
101522	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.622516556291391	5y
101632	1988	Threshold of 0.5%	Earlier Entrants	16.035714285714285	5y
101632	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.134615384615383	5y
102695	1984	Threshold of 0.5%	Earlier Entrants	15.857142857142858	5y
102695	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	24.32758620689655	5y
102697	1991	Threshold of 0.5%	Earlier Entrants	17.75	5y
102697	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.87878787878788	5y
102729	1989	Threshold of 0.5%	Earlier Entrants	12.027522935779816	5y
102729	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.997732426303855	5y
103569	1993	Threshold of 0.5%	Earlier Entrants	10.125	5y
103569	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.10691823899371	5y
104732	1987	Threshold of 0.5%	Earlier Entrants	17.25925925925926	5y
104732	1987	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.741312741312742	5y
107965	1999	Threshold of 0.5%	Earlier Entrants	3.739130434782609	5y
107965	1999	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.034965034965035	5y
108278	1997	Threshold of 0.5%	Earlier Entrants	6.064516129032258	5y
108278	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.621495327102803	5y
109507	1994	Threshold of 0.5%	Earlier Entrants	19.25	5y
109507	1994	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	17.50877192982456	5y
109510	1991	Threshold of 0.5%	Earlier Entrants	20.65	5y
109510	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.96273291925466	5y
109536	1985	Threshold of 0.5%	Earlier Entrants	11.746835443037977	5y
109536	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.431506849315069	5y
110805	1998	Threshold of 0.5%	Earlier Entrants	11.19047619047619	5y
110805	1998	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.452471482889734	5y
110880	1984	Threshold of 0.5%	Earlier Entrants	31	5y
110880	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	15.47457627118644	5y
111240	1982	Threshold of 0.5%	Earlier Entrants	10.82	5y
111240	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.489208633093526	5y
113693	1993	Threshold of 0.5%	Earlier Entrants	19.33333333333333	5y
113693	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.299270072992702	5y
114519	1995	Threshold of 0.5%	Earlier Entrants	15.5	5y
114519	1995	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.091463414634148	5y
114663	1993	Threshold of 0.5%	Earlier Entrants	2.9	5y
114663	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.668449197860962	5y
130932	1983	Threshold of 0.5%	Earlier Entrants	7.5	5y
130932	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.26086956521739	5y
132991	1986	Threshold of 0.5%	Earlier Entrants	20.348837209302324	5y
132991	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	15.414507772020723	5y
135258	1991	Threshold of 0.5%	Earlier Entrants	10.36842105263158	5y
135258	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.244725738396625	5y
138444	1991	Threshold of 0.5%	Earlier Entrants	8.944444444444445	5y
138444	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.71864406779661	5y
138599	1984	Threshold of 0.5%	Earlier Entrants	10.857142857142858	5y
138599	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.403921568627451	5y
139167	1984	Threshold of 0.5%	Earlier Entrants	13.041666666666666	5y
139167	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	21.36144578313253	5y
140626	1996	Threshold of 0.5%	Earlier Entrants	16.869565217391305	5y
140626	1996	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.235772357723578	5y
140685	1983	Threshold of 0.5%	Earlier Entrants	7.666666666666667	5y
140685	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	3.7466666666666666	5y
145432	1981	Threshold of 0.5%	Earlier Entrants	7.761904761904762	5y
145432	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.81159420289855	5y
149790	1984	Threshold of 0.5%	Earlier Entrants	10.96875	5y
149790	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	19.27083333333333	5y
152316	1981	Threshold of 0.5%	Earlier Entrants	11.1875	5y
152316	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.4050632911392391	5y
152763	1997	Threshold of 0.5%	Earlier Entrants	11.064516129032258	5y
152763	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.006666666666666	5y
157355	1991	Threshold of 0.5%	Earlier Entrants	4.857142857142857	5y
157355	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.217105263157896	5y
157804	1994	Threshold of 0.5%	Earlier Entrants	17.75	5y
157804	1994	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.72885032537961	5y
158588	1990	Threshold of 0.5%	Earlier Entrants	11.84375	5y
158588	1990	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.015384615384615	5y
159294	1995	Threshold of 0.5%	Earlier Entrants	10.45	5y
159294	1995	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.932926829268292	5y
160564	2000	Threshold of 0.5%	Earlier Entrants	7.583333333333333	5y
160564	2000	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.638036809815951	5y
163652	1982	Threshold of 0.5%	Earlier Entrants	9.761904761904765	5y
163652	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.675862068965516	5y
163854	1981	Threshold of 0.5%	Earlier Entrants	8.5	5y
163854	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.0625	5y
164442	1983	Threshold of 0.5%	Earlier Entrants	18.870967741935484	5y
164442	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.576642335766424	5y
164532	1990	Threshold of 0.5%	Earlier Entrants	5.25	5y
164532	1990	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.418803418803419	5y
165181	1992	Threshold of 0.5%	Earlier Entrants	6.454545454545454	5y
165181	1992	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.968609865470852	5y
166386	1984	Threshold of 0.5%	Earlier Entrants	37.2	5y
166386	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.08695652173913	5y
174719	1997	Threshold of 0.5%	Earlier Entrants	20.90625	5y
174719	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.119918699186991	5y
176390	1981	Threshold of 0.5%	Earlier Entrants	10.285714285714286	5y
176390	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.610526315789471	5y
180992	1984	Threshold of 0.5%	Earlier Entrants	14.484848484848484	5y
180992	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.232876712328768	5y
180993	1986	Threshold of 0.5%	Earlier Entrants	10.6	5y
180993	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.862595419847328	5y
183812	1992	Threshold of 0.5%	Earlier Entrants	3.7	5y
183812	1992	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.73793103448276	5y
184283	1987	Threshold of 0.5%	Earlier Entrants	10.428571428571429	5y
184283	1987	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.342592592592593	5y
184471	1983	Threshold of 0.5%	Earlier Entrants	14.5	5y
184471	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.404761904761903	5y
184781	1981	Threshold of 0.5%	Earlier Entrants	32.26315789473684	5y
184781	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.36082474226804	5y
186048	1981	Threshold of 0.5%	Earlier Entrants	8.851851851851851	5y
186048	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.484848484848484	5y
187194	1988	Threshold of 0.5%	Earlier Entrants	15	5y
187194	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.846938775510203	5y
187334	1984	Threshold of 0.5%	Earlier Entrants	9.647058823529411	5y
187334	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.583333333333334	5y
189801	1984	Threshold of 0.5%	Earlier Entrants	21.852941176470587	5y
189801	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.184397163120568	5y
189803	1987	Threshold of 0.5%	Earlier Entrants	7.461538461538462	5y
189803	1987	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.27777777777778	5y
191461	1980	Threshold of 0.5%	Earlier Entrants	9.428571428571429	5y
191461	1980	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.666666666666666	5y
193217	2010	Threshold of 0.5%	Earlier Entrants	14.5	5y
193217	2010	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	15.545945945945943	5y
193406	1994	Threshold of 0.5%	Earlier Entrants	8.884615384615385	5y
193406	1994	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.76824034334764	5y
193844	1992	Threshold of 0.5%	Earlier Entrants	19.785714285714285	5y
193844	1992	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.790983606557376	5y
193845	1981	Threshold of 0.5%	Earlier Entrants	7.230769230769231	5y
193845	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.443396226415096	5y
194048	1985	Threshold of 0.5%	Earlier Entrants	19.181818181818183	5y
194048	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.84027777777778	5y
195947	1982	Threshold of 0.5%	Earlier Entrants	10.6875	5y
195947	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.020408163265309	5y
195950	1985	Threshold of 0.5%	Earlier Entrants	12.9	5y
195950	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	16.67676767676768	5y
195951	1985	Threshold of 0.5%	Earlier Entrants	16.391304347826086	5y
195951	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	15.512987012987011	5y
196069	2006	Threshold of 0.5%	Earlier Entrants	11.666666666666666	5y
196069	2006	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.660256410256411	5y
197889	1983	Threshold of 0.5%	Earlier Entrants	12.579710144927535	5y
197889	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	14.669172932330827	5y
201500	1997	Threshold of 0.5%	Earlier Entrants	9.8	5y
201500	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.293814432989691	5y
202719	1981	Threshold of 0.5%	Earlier Entrants	15.333333333333334	5y
202719	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.590361445783133	5y
203390	1990	Threshold of 0.5%	Earlier Entrants	7.5	5y
203390	1990	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.921052631578949	5y
203590	1984	Threshold of 0.5%	Earlier Entrants	16.27777777777778	5y
203590	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.038216560509554	5y
203591	1992	Threshold of 0.5%	Earlier Entrants	14	5y
203591	1992	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.291666666666667	5y
204649	1997	Threshold of 0.5%	Earlier Entrants	14.202898550724637	5y
204649	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.112426035502958	5y
204937	1993	Threshold of 0.5%	Earlier Entrants	11.2	5y
204937	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.576555023923444	5y
207692	2000	Threshold of 0.5%	Earlier Entrants	16.333333333333332	5y
207692	2000	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.990783410138249	5y
208418	1988	Threshold of 0.5%	Earlier Entrants	11.2	5y
208418	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.62303664921466	5y
210161	1989	Threshold of 0.5%	Earlier Entrants	6.111111111111111	5y
210161	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.891566265060241	5y
211584	1997	Threshold of 0.5%	Earlier Entrants	6	5y
211584	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.955223880597015	5y
211853	1994	Threshold of 0.5%	Earlier Entrants	7.647058823529412	5y
211853	1994	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.304054054054054	5y
212025	1990	Threshold of 0.5%	Earlier Entrants	17	5y
212025	1990	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.4953271028037385	5y
212480	1989	Threshold of 0.5%	Earlier Entrants	17	5y
212480	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	17.310344827586206	5y
213348	1985	Threshold of 0.5%	Earlier Entrants	6.333333333333333	5y
213348	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.894736842105264	5y
214431	1999	Threshold of 0.5%	Earlier Entrants	6.527777777777778	5y
214431	1999	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.596858638743456	5y
214437	1986	Threshold of 0.5%	Earlier Entrants	12.666666666666666	5y
214437	1986	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.31159420289855	5y
